Borough,Subway Stations,Stations near green spaces,Total borough area (km<sup>2</sup>),Total green area (km<sup>2</sup>)
Manhattan,152,64,58.6,10.36
Brooklyn,167,38,180.24,15.43
Queens,80,18,282.3,21.5
Bronx,71,20,108.86,22.69
Staten Island,0,0,150.87,25.97
